삼겹살구이,610.4
삼계탕(닭백숙),395
삼치,55
삼치구이,77
삼치조림,72.5
상추,2
상추겉절이,34
새우(중하),33
"새우(중하,자건품)",15
새우볶음,9.1
새우젓,2
새우젓무침,2.4
샌드위치,358
생강,1
생선가스,116
생선전,66.1
생선초밥,454.2
샤베트,102
선짓국,70
설렁탕,171.1
설탕(백설탕),46
설탕(황설탕),46
셀러리,2
소금,0
소라,19
소면(건면),490
소주,63
소주,282
송편(깨),95
"쇠고기,수입우(갈비)",263
"쇠고기,수입우(등심)",101
"쇠고기,수입우(사태)",42
"쇠고기,수입우(양지)",53
"쇠고기,수입우(우둔)",34
"쇠고기,한우",48
"쇠고기,한우(등심)",86
"쇠고기,한우(사태)",46
"쇠고기,한우(양지)",58
쇠고기국,66
쇠고기미역국,63
쇠고기부산물(간),39
쇠고기부산물(곱창),56
쇠고기부산물(선지),20
쇠고기산적,104
쇠고기전골,104
수박,31
수수,25
수수밥,465.8
수육(쇠고기),127.1
수제비,453.2
숙주나물,4
숙주나물,15.1
순대,64.1
순대국,127
순두부,40
순두부찌개,80.3
스낵과자(밀가루),145
스낵과자(옥수수),237
스파게티,514.4
스파게티(건면),309
스프,152.2
시금치,14
시금치나물,26
시금치된장국,35.1
시래기된장국,38
시리얼(콘푸레이크),93
식빵,156
식초,1
식혜,89
쌀과자,183
쌀밥,405
쌈장,35
쌍화차(분말),74
쑥,31
쑥갓,1
쑥된장국,52.5
씀바귀,12
씀바귀나물,43
아구찜,89
아귀,48
아몬드,48
아스파라거스,0
아욱,10
아욱된장국,39.2
아이스크림,216
"아이스크림(소프트,바닐라)",178
아이스크림바(초콜렛),173
아이스크림콘(바닐라),167
약과,255
양념꽃게장,39.2
양배추,6
양배추샐러드,56
양상추,3
양송이버섯,2
양주(위스키),71
양파,3
어묵,35
어묵국,53
어묵볶음,88.7
어패류액젓(멸치액젓),1
어패류액젓(어란젓),12
어패류액젓(창란젓),12
연근,17
연근조림,24
연두부,45
연두부찌개,88.2
연어(훈제),34
열무,6
엿,127
오곡밥,334.1
오렌지,86
오렌지주스,84
오리고기,525
오리고기로스,508.1
오므라이스,519.4
오이,4
오이생채,7.1
오이생채(가정식),6.5
오이생채(단체급식),12
오이지,1
오이지무침,7.1
오이피클,33.7
오징어,33
오징어(말린것),53
오징어국,62
오징어덮밥,455.6
오징어무침,40
오징어볶음,95
오징어젓무침,15.4
오징어찌개,38
오징어채무침,98.3
오징어채볶음,108
오징어튀김,46
오징어포조림,31
옥수수기름,35
옥수수통조림,10
옥수수튀밥,90
올리브,4
올리브유,37
완두콩,8
완자전,84
요구르트(액상),98
"요구르트(호상, 딸기)",109
요구르트음료,55
우거지국,30
우동,370
우동국수(생면),177
우스터소스,4
우엉,10
우엉조림,44
우유,120
유부,48
유부초밥,463.4
유자차(분말),25
육개장,86
율무차(분말),60
은행,9
이온스포츠음료,63
인삼차(과립),28
인절미,109
임연수구이,102
임연수어,83
자장면,794
자장소스,33
잔멸치볶음,16
잔치국수,638
잡채,189.4
잡채밥,447.4
잣,20
장어(갯장어),156
장어양념구이,220
장조림,45
"재첩(재치조개,갱조개)",33
적포도주,84
전복,9
전복죽,184.6
전분,17
절편,110
제육(돼지고기),124
조개국,28
조기,42
조기구이,112
조기매운탕,80.1
조기찜,73
조기튀김,73.4
조미분,2
조미소,2
족발,165
주꾸미,23
죽순,3
중국국수(생면),393
쥐치(말린것),50
짬뽕,555
쫄면,580.3
차조,23
차조밥,383.9
찰밥,387.9
찰옥수수,126
참기름,35
참나물,42.1
참나물,13
참외,25
참치찌개,83
찹쌀,56
찹쌀떡,165
청국장,31
청국장찌개,79
청주,48
청주,193
청포묵무침,33.4
초고추장,30
초코바,248
초코파이,153
초콜릿,98
추어탕,94.1
취나물,14
취나물,30
취나물(말린것),23
치즈,64
"치즈,가공치즈",62
"치즈,모짜렐라",32
치커리,1
카라멜,41
카레(분말),32
카레라이스,433.8
카스테라,162
칼국수,425
칼국수(반건),226
캔커피,20
커피(분말크림),29
커피(설탕),19
"커피(설탕,분말크림)",40
"커피(원두,블랙)",6
커피믹스,54
커피분말,7
커피프림,33
케이크(생크림),317
케이크(초코릿),437
케이크(파운드),343
콜라,100
콩국수,738
콩기름,35
콩나물,25
콩나물,12
콩나물국,18.2
콩나물밥,549.3
콩밥,383.3
콩비지,15
콩비지찌개,69
콩조림(콩자반),38
쿠키,140
크래커,175
크래커(샌드),172
크로켓,237
크림빵,288
키위,24
탕수육,230
토란,26
토란대(말린것),45
토마토,14
토마토주스,27
토마토케첩,6
토마토페이스트,16
톳,6
톳나물,32
파,3
파래,3
파래무침,43
파무침,50
파인애플,10
파전,109.2
팝콘,50
팥,34
팥밥,344.9
팥시루떡,195
팥죽,247.5
팽이버섯,3
포도,39
"포도,건포도",11
포도주스,110
표고버섯,3
표고버섯(말린것),8
풋고추,2
풋고추조림,11
풋마늘,4
피망,1
피자,390
함박스테이크,103.3
핫도그,124
해물탕,86.3
해삼,5
해파리,7
햄버거,344
현미,42
현미밥,389.3
호두,98
호박(애호박),8
호박나물,32
호박전,76
호박죽,243.6
호빵,229
홍어,26
홍어회무침,44.4
홍차,72
홍차,3
홍차음료,64
홍합,14
홍합미역국,28
회덮밥,696.5
효모,0
후렌치후라이,367
후르츠샐러드(칵테일),29
후추,3
흑미밥,387.2
